fixture_id,league,league_id,season,match_date,match_time,home_team,away_team,source,fetched_at_utc
odds_api_io_70350998,ecuador-serie-b,ecuador-serie-b,upcoming,2026-05-13,20:30,Cumbaya FC,LDU Portoviejo,odds_api_io_events_bookmaker_filtered,2026-05-13T14:11:23.336889+00:00
odds_api_io_66299152,usa-mls,usa-mls,upcoming,2026-05-13,23:30,DC United,Chicago Fire,odds_api_io_events_bookmaker_filtered,2026-05-13T14:11:23.336889+00:00
odds_api_io_69254642,chile-primera-division-women,chile-primera-division-women,upcoming,2026-05-13,15:00,Deportes Recoleta,Universidad Catolica,odds_api_io_events_bookmaker_filtered,2026-05-13T14:11:23.336889+00:00
odds_api_io_61624638,spain-laliga,spain-laliga,upcoming,2026-05-13,19:30,Deportivo Alaves,FC Barcelona,odds_api_io_events_bookmaker_filtered,2026-05-13T14:11:23.336889+00:00
odds_api_io_61466365,austria-amateur-regionalliga-centre,austria-amateur-regionalliga-centre,upcoming,2026-05-13,17:00,Deutschlandsberger SC,SK Treibach,odds_api_io_events_bookmaker_filtered,2026-05-13T14:11:23.336889+00:00
odds_api_io_71049698,luxembourg-coupe-de-luxembourg,luxembourg-coupe-de-luxembourg,upcoming,2026-05-13,18:00,FC Differdange 03,FC Rodange 91,odds_api_io_events_bookmaker_filtered,2026-05-13T14:11:23.336889+00:00
odds_api_io_70401280,brazil-copa-do-brasil,brazil-copa-do-brasil,upcoming,2026-05-13,22:00,EC Juventude RS,Sao Paulo FC SP,odds_api_io_events_bookmaker_filtered,2026-05-13T14:11:23.336889+00:00
fd_SP1_2026-05-13_Espanol_Ath_Bilbao,la_liga,SP1,upcoming,2026-05-13,18:00,Espanol,Ath Bilbao,football_data_fixtures_proxy,2026-05-13T14:11:22.644318+00:00
odds_api_io_61624648,spain-laliga,spain-laliga,upcoming,2026-05-13,17:00,Espanyol Barcelona,Athletic Bilbao,odds_api_io_events_bookmaker_filtered,2026-05-13T14:11:23.336889+00:00
odds_api_io_67126096,sweden-superettan,sweden-superettan,upcoming,2026-05-13,17:00,Falkenbergs FF,Varbergs BoIS,odds_api_io_events_bookmaker_filtered,2026-05-13T14:11:23.336889+00:00
odds_api_io_68158792,argentina-copa-proyeccion-final-reserves,argentina-copa-proyeccion-final-reserves,upcoming,2026-05-13,18:00,Ferro Carril Oeste,Boca Juniors,odds_api_io_events_bookmaker_filtered,2026-05-13T14:11:23.336889+00:00
odds_api_io_71299448,brazil-paulista-serie-a2,brazil-paulista-serie-a2,upcoming,2026-05-13,22:15,Ferroviaria Araraquara SP,CA Juventus SP,odds_api_io_events_bookmaker_filtered,2026-05-13T14:11:23.336889+00:00
odds_api_io_69501870,latvia-1liga,latvia-1liga,upcoming,2026-05-13,17:15,FK Smiltene/Bjss,SK Super Nova II,odds_api_io_events_bookmaker_filtered,2026-05-13T14:11:23.336889+00:00
odds_api_io_70852954,bosnia-&-herzegovina-bosnia-&-herzegovina-cup,bosnia-&-herzegovina-bosnia-&-herzegovina-cup,upcoming,2026-05-13,16:00,FK Velez Mostar,HSK Zrinjski Mostar,odds_api_io_events_bookmaker_filtered,2026-05-13T14:11:23.336889+00:00
odds_api_io_71282488,serbia-serbian-cup,serbia-serbian-cup,upcoming,2026-05-13,18:00,FK Vojvodina Novi Sad,FK Crvena Zvezda Belgrade,odds_api_io_events_bookmaker_filtered,2026-05-13T14:11:23.336889+00:00
odds_api_io_68751754,brazil-u20-campeonato-brasileiro,brazil-u20-campeonato-brasileiro,upcoming,2026-05-13,18:00,Fluminense FC RJ,CR Vasco da Gama RJ,odds_api_io_events_bookmaker_filtered,2026-05-13T14:11:23.336889+00:00
odds_api_io_68685980,canada-canadian-premier-league,canada-canadian-premier-league,upcoming,2026-05-13,15:00,Forge FC Hamilton,FC Supra Du Quebec,odds_api_io_events_bookmaker_filtered,2026-05-13T14:11:23.336889+00:00
odds_api_io_71056918,turkiye-turkiye-kupasi,turkiye-turkiye-kupasi,upcoming,2026-05-13,17:30,Genclerbirligi SK,Trabzonspor,odds_api_io_events_bookmaker_filtered,2026-05-13T14:11:23.336889+00:00
fd_SP1_2026-05-13_Getafe_Mallorca,la_liga,SP1,upcoming,2026-05-13,20:30,Getafe,Mallorca,football_data_fixtures_proxy,2026-05-13T14:11:22.644318+00:00
odds_api_io_61624644,spain-laliga,spain-laliga,upcoming,2026-05-13,19:30,Getafe CF,RCD Mallorca,odds_api_io_events_bookmaker_filtered,2026-05-13T14:11:23.336889+00:00
odds_api_io_62038090,poland-iii-liga-group-1,poland-iii-liga-group-1,upcoming,2026-05-13,15:00,GKS Belchatow,Widzew Lodz II,odds_api_io_events_bookmaker_filtered,2026-05-13T14:11:23.336889+00:00
odds_api_io_62036872,poland-iii-liga-group-3,poland-iii-liga-group-3,upcoming,2026-05-13,15:00,GKS Pniowek Pawlowice,KS Gornik Polkowice,odds_api_io_events_bookmaker_filtered,2026-05-13T14:11:23.336889+00:00
odds_api_io_70674830,scotland-premiership,scotland-premiership,upcoming,2026-05-13,19:00,Glasgow Rangers,Hibernian FC,odds_api_io_events_bookmaker_filtered,2026-05-13T14:11:23.336889+00:00
