fixture_id,match_date,match_time,home_team,away_team,league,source_name,source_type,market_home_odds,market_draw_odds,market_away_odds,price_captured_at_utc,source_quality,raw_source_url
fd_E0_2026-05-17_Brentford_Crystal_Palace,2026-05-17,15:00,Brentford,Crystal Palace,premier_league,football_data_average_market_proxy,delayed_market_proxy,1.71,4.09,4.17,2026-05-17T13:02:05.538923+00:00,free_delayed_fixture_odds_proxy,https://www.football-data.co.uk/fixtures.csv
fd_E0_2026-05-17_Everton_Sunderland,2026-05-17,15:00,Everton,Sunderland,premier_league,football_data_bet365_proxy,delayed_market_proxy,1.8,3.75,4.33,2026-05-17T13:02:05.538923+00:00,free_delayed_fixture_odds_proxy,https://www.football-data.co.uk/fixtures.csv
fd_E0_2026-05-17_Everton_Sunderland,2026-05-17,15:00,Everton,Sunderland,premier_league,football_data_max_market_proxy,delayed_market_proxy,1.83,3.75,4.35,2026-05-17T13:02:05.538923+00:00,free_delayed_fixture_odds_proxy,https://www.football-data.co.uk/fixtures.csv
fd_E0_2026-05-17_Everton_Sunderland,2026-05-17,15:00,Everton,Sunderland,premier_league,football_data_average_market_proxy,delayed_market_proxy,1.81,3.63,4.18,2026-05-17T13:02:05.538923+00:00,free_delayed_fixture_odds_proxy,https://www.football-data.co.uk/fixtures.csv
fd_E0_2026-05-17_Leeds_Brighton,2026-05-17,15:00,Leeds,Brighton,premier_league,football_data_bet365_proxy,delayed_market_proxy,3.2,3.6,2.15,2026-05-17T13:02:05.538923+00:00,free_delayed_fixture_odds_proxy,https://www.football-data.co.uk/fixtures.csv
fd_E0_2026-05-17_Leeds_Brighton,2026-05-17,15:00,Leeds,Brighton,premier_league,football_data_max_market_proxy,delayed_market_proxy,3.2,3.7,2.22,2026-05-17T13:02:05.538923+00:00,free_delayed_fixture_odds_proxy,https://www.football-data.co.uk/fixtures.csv
fd_E0_2026-05-17_Leeds_Brighton,2026-05-17,15:00,Leeds,Brighton,premier_league,football_data_average_market_proxy,delayed_market_proxy,3.09,3.57,2.14,2026-05-17T13:02:05.538923+00:00,free_delayed_fixture_odds_proxy,https://www.football-data.co.uk/fixtures.csv
fd_E0_2026-05-17_Wolves_Fulham,2026-05-17,15:00,Wolves,Fulham,premier_league,football_data_bet365_proxy,delayed_market_proxy,3.8,3.8,1.9,2026-05-17T13:02:05.538923+00:00,free_delayed_fixture_odds_proxy,https://www.football-data.co.uk/fixtures.csv
fd_E0_2026-05-17_Wolves_Fulham,2026-05-17,15:00,Wolves,Fulham,premier_league,football_data_max_market_proxy,delayed_market_proxy,3.8,4.0,1.95,2026-05-17T13:02:05.538923+00:00,free_delayed_fixture_odds_proxy,https://www.football-data.co.uk/fixtures.csv
fd_E0_2026-05-17_Wolves_Fulham,2026-05-17,15:00,Wolves,Fulham,premier_league,football_data_average_market_proxy,delayed_market_proxy,3.68,3.78,1.87,2026-05-17T13:02:05.538923+00:00,free_delayed_fixture_odds_proxy,https://www.football-data.co.uk/fixtures.csv
fd_E0_2026-05-17_Newcastle_West_Ham,2026-05-17,17:30,Newcastle,West Ham,premier_league,football_data_bet365_proxy,delayed_market_proxy,2.1,3.8,3.2,2026-05-17T13:02:05.538923+00:00,free_delayed_fixture_odds_proxy,https://www.football-data.co.uk/fixtures.csv
fd_E0_2026-05-17_Newcastle_West_Ham,2026-05-17,17:30,Newcastle,West Ham,premier_league,football_data_max_market_proxy,delayed_market_proxy,2.1,4.0,3.25,2026-05-17T13:02:05.538923+00:00,free_delayed_fixture_odds_proxy,https://www.football-data.co.uk/fixtures.csv
fd_E0_2026-05-17_Newcastle_West_Ham,2026-05-17,17:30,Newcastle,West Ham,premier_league,football_data_average_market_proxy,delayed_market_proxy,2.05,3.78,3.15,2026-05-17T13:02:05.538923+00:00,free_delayed_fixture_odds_proxy,https://www.football-data.co.uk/fixtures.csv
fd_E0_2026-05-18_Arsenal_Burnley,2026-05-18,20:00,Arsenal,Burnley,premier_league,football_data_bet365_proxy,delayed_market_proxy,1.09,11.0,23.0,2026-05-17T13:02:05.538923+00:00,free_delayed_fixture_odds_proxy,https://www.football-data.co.uk/fixtures.csv
